"table_name","column_name","data_type","foreign_key_reference","is_primary_key","is_nullable"
"artist_styles","id","integer","null","true","NO"
"artist_styles","name","character varying","null","false","NO"
"artist_styles","prompt_template","text","null","false","NO"
"artist_styles","active","boolean","null","false","YES"
"artist_styles","created_at","timestamp with time zone","null","false","YES"
"artist_styles","updated_at","timestamp with time zone","null","false","YES"
"books","id","bigint","null","true","NO"
"books","recipient_id","bigint","recipients.id","false","YES"
"books","status","character","null","false","NO"
"books","pdf_key","character varying","null","false","YES"
"books","current_version","integer","null","false","YES"
"books","ready_for_print","timestamp with time zone","null","false","YES"
"books","created_at","timestamp with time zone","null","false","YES"
"order_items","id","bigint","null","true","NO"
"order_items","order_id","bigint","shopify_orders.shopify_orders_sb_id","false","YES"
"order_items","book_id","bigint","books.id","false","YES"
"order_items","quantity","integer","null","false","NO"
"order_items","created_at","timestamp with time zone","null","false","YES"
"pdf_generation","id","bigint","null","true","NO"
"pdf_generation","book_ref","bigint","books.id","false","YES"
"pdf_generation","status","character","null","false","NO"
"pdf_generation","pdf_key","character varying","null","false","YES"
"pdf_generation","attempt_count","integer","null","false","YES"
"pdf_generation","completed_at","timestamp with time zone","null","false","YES"
"pdf_generation","created_at","timestamp with time zone","null","false","YES"
"pdf_generation_attempts","id","bigint","null","true","NO"
"pdf_generation_attempts","pdf_generation_ref","bigint","pdf_generation.id","false","YES"
"pdf_generation_attempts","pdfco_job_id","character varying","null","false","YES"
"pdf_generation_attempts","response_code","integer","null","false","YES"
"pdf_generation_attempts","request_data","jsonb","null","false","YES"
"pdf_generation_attempts","response_data","jsonb","null","false","YES"
"pdf_generation_attempts","error_message","text","null","false","YES"
"pdf_generation_attempts","created_at","timestamp with time zone","null","false","YES"
"portrait_upscale_links","request_id","text","null","true","NO"
"portrait_upscale_links","portrait_id","bigint","portraits.id","false","NO"
"portrait_upscale_links","created_at","timestamp with time zone","null","false","YES"
"portrait_upscale_logs","id","bigint","null","true","NO"
"portrait_upscale_logs","request_id","text","null","false","NO"
"portrait_upscale_logs","status","text","null","false","NO"
"portrait_upscale_logs","payload","jsonb","null","false","YES"
"portrait_upscale_logs","created_at","timestamp with time zone","null","false","YES"
"portraits","id","bigint","null","true","NO"
"portraits","book_id","bigint","books.id","false","YES"
"portraits","style_id","bigint","artist_styles.id","false","YES"
"portraits","worker_id","bigint","workers.id","false","YES"
"portraits","status","character","null","false","NO"
"portraits","image_key","character varying","null","false","YES"
"portraits","proof_status","character","null","false","YES"
"portraits","proof_feedback","text","null","false","YES"
"portraits","completed_at","timestamp with time zone","null","false","YES"
"portraits","created_at","timestamp with time zone","null","false","YES"
"portraits","hires_image_key","text","null","false","YES"
"print_items","id","bigint","null","true","NO"
"print_items","print_job_ref","bigint","print_jobs.id","false","YES"
"print_items","book_ref","bigint","books.id","false","YES"
"print_items","pdf_key","character varying","null","false","YES"
"print_items","quantity","integer","null","false","NO"
"print_items","print_specs","jsonb","null","false","YES"
"print_items","created_at","timestamp with time zone","null","false","YES"
"print_job_attempts","id","bigint","null","true","NO"
"print_job_attempts","print_job_ref","bigint","print_jobs.id","false","YES"
"print_job_attempts","rpi_job_id","character varying","null","false","YES"
"print_job_attempts","response_code","integer","null","false","YES"
"print_job_attempts","request_data","jsonb","null","false","YES"
"print_job_attempts","response_data","jsonb","null","false","YES"
"print_job_attempts","error_message","text","null","false","YES"
"print_job_attempts","created_at","timestamp with time zone","null","false","YES"
"print_jobs","id","bigint","null","true","NO"
"print_jobs","order_sb_id","bigint","shopify_orders.shopify_orders_sb_id","false","YES"
"print_jobs","rpi_order_id","character varying","null","false","YES"
"print_jobs","status","character","null","false","NO"
"print_jobs","attempt_count","integer","null","false","YES"
"print_jobs","print_config","jsonb","null","false","YES"
"print_jobs","completed_at","timestamp with time zone","null","false","YES"
"print_jobs","created_at","timestamp with time zone","null","false","YES"
"recipients","id","bigint","null","true","NO"
"recipients","name","text","null","false","NO"
"recipients","age","integer","null","false","YES"
"recipients","message","text","null","false","YES"
"recipients","photo_key","character varying","null","false","YES"
"recipients","status","character","null","false","NO"
"recipients","metadata","jsonb","null","false","YES"
"recipients","created_at","timestamp with time zone","null","false","YES"
"recipients","shopify_photo_url","character varying","null","false","YES"
"recipients","gender","USER-DEFINED","null","false","YES"
"rpi_webhooks","id","bigint","null","true","NO"
"rpi_webhooks","rpi_order_id","character varying","null","false","NO"
"rpi_webhooks","source","text","null","false","NO"
"rpi_webhooks","timestamp","timestamp with time zone","null","false","NO"
"rpi_webhooks","message","text","null","false","YES"
"rpi_webhooks","payload","jsonb","null","false","NO"
"rpi_webhooks","signature","text","null","false","YES"
"rpi_webhooks","created_at","timestamp with time zone","null","false","NO"
"shipping_addresses","id","bigint","null","true","NO"
"shipping_addresses","order_sb_id","bigint","shopify_orders.shopify_orders_sb_id","false","YES"
"shipping_addresses","name","character varying","null","false","NO"
"shipping_addresses","address_line1","character varying","null","false","NO"
"shipping_addresses","address_line2","character varying","null","false","YES"
"shipping_addresses","city","character varying","null","false","NO"
"shipping_addresses","state","character varying","null","false","NO"
