"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale","constraint_type","foreign_table_name","foreign_column_name"
"artist_styles","id","integer","nextval('artist_styles_id_seq'::regclass)","NO","","32","0","PRIMARY KEY","",""
"artist_styles","name","character varying","","NO","100","","","","",""
"artist_styles","prompt_template","text","","NO","","","","","",""
"artist_styles","active","boolean","true","YES","","","","","",""
"artist_styles","created_at","timestamp with time zone","now()","YES","","","","","",""
"artist_styles","updated_at","timestamp with time zone","timezone('utc'::text, now())","YES","","","","","",""
"books","id","bigint","nextval('books_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"books","recipient_id","bigint","","YES","","64","0","FOREIGN KEY","recipients","id"
"books","status","character","'N'::bpchar","NO","1","","","","",""
"books","pdf_key","character varying","","YES","255","","","","",""
"books","current_version","integer","1","YES","","32","0","","",""
"books","ready_for_print","timestamp with time zone","","YES","","","","","",""
"books","created_at","timestamp with time zone","now()","YES","","","","","",""
"order_items","id","bigint","nextval('order_items_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"order_items","order_id","bigint","","YES","","64","0","FOREIGN KEY","shopify_orders","shopify_orders_sb_id"
"order_items","book_id","bigint","","YES","","64","0","FOREIGN KEY","books","id"
"order_items","quantity","integer","","NO","","32","0","","",""
"order_items","created_at","timestamp with time zone","now()","YES","","","","","",""
"pdf_generation","id","bigint","nextval('pdf_generation_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"pdf_generation","book_ref","bigint","","YES","","64","0","FOREIGN KEY","books","id"
"pdf_generation","status","character","'P'::bpchar","NO","1","","","","",""
"pdf_generation","pdf_key","character varying","","YES","255","","","","",""
"pdf_generation","attempt_count","integer","0","YES","","32","0","","",""
"pdf_generation","completed_at","timestamp with time zone","","YES","","","","","",""
"pdf_generation","created_at","timestamp with time zone","now()","YES","","","","","",""
"pdf_generation_attempts","id","bigint","nextval('pdf_generation_attempts_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"pdf_generation_attempts","pdf_generation_ref","bigint","","YES","","64","0","FOREIGN KEY","pdf_generation","id"
"pdf_generation_attempts","pdfco_job_id","character varying","","YES","100","","","","",""
"pdf_generation_attempts","response_code","integer","","YES","","32","0","","",""
"pdf_generation_attempts","request_data","jsonb","","YES","","","","","",""
"pdf_generation_attempts","response_data","jsonb","","YES","","","","","",""
"pdf_generation_attempts","error_message","text","","YES","","","","","",""
"pdf_generation_attempts","created_at","timestamp with time zone","now()","YES","","","","","",""
"portraits","id","bigint","nextval('portraits_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"portraits","book_id","bigint","","YES","","64","0","FOREIGN KEY","books","id"
"portraits","style_id","bigint","","YES","","64","0","FOREIGN KEY","artist_styles","id"
"portraits","worker_id","bigint","","YES","","64","0","FOREIGN KEY","workers","id"
"portraits","status","character","'P'::bpchar","NO","1","","","","",""
"portraits","image_key","character varying","","YES","255","","","","",""
"portraits","proof_status","character","'W'::bpchar","NO","1","","","","",""
"portraits","proof_feedback","text","","YES","","","","","",""
"portraits","completed_at","timestamp with time zone","","YES","","","","","",""
"portraits","created_at","timestamp with time zone","now()","YES","","","","","",""
"print_items","id","bigint","nextval('print_items_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"print_items","print_job_ref","bigint","","YES","","64","0","FOREIGN KEY","print_jobs","id"
"print_items","book_ref","bigint","","YES","","64","0","FOREIGN KEY","books","id"
"print_items","pdf_key","character varying","","YES","255","","","","",""
"print_items","quantity","integer","","NO","","32","0","","",""
"print_items","print_specs","jsonb","","YES","","","","","",""
"print_items","created_at","timestamp with time zone","now()","YES","","","","","",""
"print_job_attempts","id","bigint","nextval('print_job_attempts_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"print_job_attempts","print_job_ref","bigint","","YES","","64","0","FOREIGN KEY","print_jobs","id"
"print_job_attempts","rpi_job_id","character varying","","YES","100","","","","",""
"print_job_attempts","response_code","integer","","YES","","32","0","","",""
"print_job_attempts","request_data","jsonb","","YES","","","","","",""
"print_job_attempts","response_data","jsonb","","YES","","","","","",""
"print_job_attempts","error_message","text","","YES","","","","","",""
"print_job_attempts","created_at","timestamp with time zone","now()","YES","","","","","",""
"print_jobs","id","bigint","nextval('print_jobs_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"print_jobs","order_ref","bigint","","YES","","64","0","FOREIGN KEY","shopify_orders","shopify_orders_sb_id"
"print_jobs","rpi_order_id","character varying","","YES","100","","","","",""
"print_jobs","status","character","'P'::bpchar","NO","1","","","","",""
"print_jobs","attempt_count","integer","0","YES","","32","0","","",""
"print_jobs","print_config","jsonb","","YES","","","","","",""
"print_jobs","completed_at","timestamp with time zone","","YES","","","","","",""
"print_jobs","created_at","timestamp with time zone","now()","YES","","","","","",""
"recipients","id","bigint","nextval('recipients_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"recipients","name","text","","NO","","","","","",""
"recipients","age","integer","","YES","","32","0","","",""
"recipients","message","text","","YES","","","","","",""
"recipients","photo_key","character varying","","YES","255","","","","",""
"recipients","status","character","'P'::bpchar","NO","1","","","","",""
"recipients","metadata","jsonb","","YES","","","","","",""
"recipients","created_at","timestamp with time zone","now()","YES","","","","","",""
"recipients","shopify_photo_url","character varying","","YES","255","","","","",""
"recipients","gender","USER-DEFINED","","YES","","","","","",""
"shipping_addresses","id","bigint","nextval('shipping_addresses_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"shipping_addresses","order_id","bigint","","YES","","64","0","FOREIGN KEY","shopify_orders","shopify_orders_sb_id"
"shipping_addresses","recipient_name","character varying","","NO","100","","","","",""
"shipping_addresses","address_line1","character varying","","NO","100","","","","",""
"shipping_addresses","address_line2","character varying","","YES","100","","","","",""
"shipping_addresses","city","character varying","","NO","100","","","","",""
"shipping_addresses","state","character varying","","NO","100","","","","",""
"shipping_addresses","postal_code","character varying","","NO","20","","","","",""
"shipping_addresses","country_code","character","","NO","2","","","","",""
"shipping_addresses","verified","boolean","false","YES","","","","","",""
"shipping_addresses","created_at","timestamp with time zone","now()","YES","","","","","",""
"shopify_orders","shopify_orders_sb_id","bigint","nextval('shopify_orders_shopify_orders_sb_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"shopify_orders","shopify_order_number","character varying","","NO","32","","","","",""
"shopify_orders","shopify_order_id","character varying","","NO","32","","","","",""
"shopify_orders","status","character","'N'::bpchar","NO","1","","","","",""
"shopify_orders","metadata","jsonb","","YES","","","","","",""
"shopify_orders","customer_email","character varying","","YES","255","","","","",""
"shopify_orders","created_at","timestamp with time zone","now()","YES","","","","","",""
"workers","id","bigint","nextval('workers_id_seq'::regclass)","NO","","64","0","PRIMARY KEY","",""
"workers","email","character varying","","NO","255","","","","",""
"workers","name","character varying","","NO","100","","","","",""
"workers","active","boolean","true","YES","","","","","",""
"workers","last_active","timestamp with time zone","","YES","","","","","",""
"workers","created_at","timestamp with time zone","now()","YES","","","","","",""
